tanggal,positif,sembuh,meninggal,suspect
2022-09-01,26,11898,3780,
2022-09-02,22,11904,3780,
2022-09-03,24,11906,3780,
2022-09-04,24,11906,3780,
2022-09-05,17,11913,3780,
2022-09-06,17,11914,3780,
2022-09-07,20,11915,3780,
2022-09-08,20,11916,3780,
2022-09-09,14,11922,3780,
2022-09-10,14,11926,3780,
2022-09-11,14,11926,3780,
2022-09-12,12,11932,3780,
2022-09-13,10,11935,3780,
2022-09-14,5,11940,3780,
2022-09-15,6,11941,3780,
2022-09-16,7,11941,3780,
2022-09-17,7,11941,3780,
