tanggal,positif,sembuh,meninggal,suspect
2022-09-13,3,3066,215,
2022-09-14,3,3066,215,
2022-09-15,1,3068,215,
2022-09-16,1,3068,215,
2022-09-17,1,3068,215,
2022-09-18,1,3068,215,
2022-09-19,1,3068,215,
2022-09-20,1,3068,215,
2022-09-21,0,3069,215,
2022-09-22,0,3069,215,
2022-09-23,0,3069,215,
2022-09-24,0,3069,215,
2022-09-25,0,3069,215,
2022-09-26,0,3069,215,
2022-09-27,0,3069,215,
2022-09-28,0,3069,215,
2022-09-29,0,3069,215,
2022-09-30,0,3069,215,
2022-10-01,0,3069,215,
2022-10-02,0,3069,215,
